"created_at","screen_name","text"
2020-02-21 21:00:00,"JoeBiden","Family separation will end on my watch — I promise you. https://t.co/iyvrvZE2ss"
2020-02-21 20:07:56,"JoeBiden","A giant among men, a civil rights hero, and a man I'm honored to call a friend — Happy Birthday, Congressman Lewis! Every day your courage inspires me like it's inspired our entire country. https://t.co/4bHZYDNB1u"
2020-02-21 19:15:00,"JoeBiden","Experience matters. I’m the only one in this race who has gotten anything big done when it comes to health care. As president, I’ll build on Obamacare to ensure every American receives the quality, affordable care they deserve. https://t.co/hIPeFEpFKW"
2020-02-21 18:47:02,"JoeBiden","Grateful to have the support of @latinovictoryus! We can't beat Trump without a broad and diverse coalition that includes and elevates the Latino community. Together, we can win the battle for the soul of our nation. https://t.co/Ulvdm46eTL"
2020-02-21 18:05:32,"JoeBiden","America's teachers and school personnel have been forced to make ends meet with too little pay and too few resources to educate our kids. That'll change in my administration.

Thank you @AFTunion and @rweingarten!"
2020-02-21 17:30:48,"JoeBiden","We all have a responsibility to declare with conviction that hatred and bigotry and white supremacy have no place in America. We must give hate no safe harbor. https://t.co/4t9ilsqRla"
2020-02-21 14:59:00,"JoeBiden","Donald Trump is the most corrupt president in modern American history. We need to get him out of the White House and restore honor and dignity to the presidency. https://t.co/K6lz4Ueagp"
2020-02-21 03:53:30,"JoeBiden","Americans — not Vladimir Putin — should decide our elections. https://t.co/vwHk1ELdjF"
2020-02-21 02:48:00,"JoeBiden","We had a great night at tonight's CNN town hall — and with just two days until the Nevada caucuses, we need your help to keep our momentum going. Every dollar goes a long way during this critical stretch. Chip in today: https://t.co/Y8rEQnFhTc"
2020-02-21 02:16:07,"JoeBiden","I’ve sat there and looked in the eyes of parents who lost their kids to gun violence. They want to be able to sue these gun manufacturers. We should let them. https://t.co/thL9G6IPvy"
2020-02-21 00:58:00,"JoeBiden","Alex, a law enforcement officer and former Marine from Reno, supports common-sense gun safety reform — just like the majority of America. Here’s why he’s supporting our campaign: https://t.co/BAM6qFjHzs"
2020-02-21 00:50:00,"JoeBiden","I'm about to take the stage for tonight's town hall in Las Vegas, Nevada. Tune in to @CNN at 8 PM ET to watch live."
2020-02-21 00:25:00,"JoeBiden","Let me be clear: Mayor Bloomberg should release folks from their non-disclosure agreements. This is about transparency. The American people deserve to know the truth. https://t.co/IdRmpGpumm"
2020-02-20 23:20:00,"JoeBiden","The campaign trail is ruff without these two by my side. #LoveYourPetDay https://t.co/opFxSKorox"
2020-02-20 22:27:13,"JoeBiden","We have to take on the @NRA and pass real reform to end our gun violence epidemic. That starts with universal background checks, a ban on assault weapons, and holding gun manufacturers accountable.

I've beaten the gun lobby twice — and I'll do it again as president."
2020-02-20 22:27:13,"JoeBiden","We fall into the same pattern every time: a senseless act of violence occurs, politicians offer “thoughts and prayers,” and calls for reform fade away until the next tragedy inevitably occurs.

I’m sick and tired of saying “enough is enough.” We can’t go on like this any longer."
2020-02-20 22:27:13,"JoeBiden","Last night’s debate took place blocks away from the site of the deadliest mass shooting in American history — where a lone gunman took 58 precious lives and injured hundreds of others. Yet there were zero questions about how we end our gun violence epidemic. It was unacceptable."
2020-02-20 21:20:00,"JoeBiden","It’s simple: If you like your private health insurance plan, you should be able to keep it. If you don’t like it, you should be able to choose a new public option.

That’s the choice my administration will give every American — and we’ll do it without raising middle class taxes. https://t.co/pQ8LjknasW"
2020-02-20 18:45:44,"JoeBiden","Trump thinks the media is the enemy of the people. He's dead wrong.

America’s commitment to free press, free speech, and free expression should never waver, and certainly not in the face of Chinese authoritarianism. We've got to stand up for these freedoms at home and abroad. https://t.co/INm6CoQUci"
2020-02-20 17:08:59,"JoeBiden","We are in a climate emergency — and every day that Donald Trump remains in the White House further threatens the future of our planet. https://t.co/TAcciLRhrD"
2020-02-20 14:37:35,"JoeBiden","It's time to hold gun manufacturers accountable. https://t.co/2qxmd55x9C"
2020-02-20 05:38:00,"JoeBiden","Action can’t wait when it comes to gun safety reform, health care, and immigration. We need a leader with the proven ability to unite the country and get big things done. https://t.co/j2tm7WXw42"
2020-02-20 05:20:47,"JoeBiden","I’m feeling good about what’s to come for our campaign in Nevada, South Carolina and beyond. I could use your help to keep this momentum going. 

Chip in what you can, it’ll make a big difference for our campaign: https://t.co/xqG2nvU7t5 https://t.co/kzJH26LDFl"
